I did not have relations with that women🤫
His name is Willam not bill Clinton it’s Willam Jefferson Clinton
IT&#39;S  NAUGHTY BOY CLINTON AS I&#39;M SEEING  😅
Trump release the files just as easy as easy started this war
just stop   all the lies   from the demo rats
"Seven months, Comer, and what did the Uniparty deliver?  Nothing. F&amp;^k this charade!"
I looked at theEpsteins flight logs and both Clinton&#39;s name were handwritten down by Epstein himself.
Liar liar pants on fire!!
"killery clinton was lying, she know and saw a lot, they way she was searching for every single word and how her eyes went around and could&#39;nt focus.bill is a much better in lying ,remember the 1998 testemony how he was lying bigtime under oat.."
Does anyone think they were going to go in there and admit they knew about everything. What a joke. He was the creator of the Clinton foundation. And there it is.   All over . Back to scamming
All they talk about is getting Trump.
This is a joke
How come we can’t watch the testimony like we could bondi or petal’s? On top of that we just going to disregard the testimonies of the victims and all the photos that’s crazy.
"With all due respect to the office, sir, you are a proven liar and did so in front of the world. You disgraced the office of the Presidency and diminished our country on the world stage."
Exa tlt Bill Clinton is a KNOWN LIAR WHO HAS ON HIS OWN TAKEN ADVANTAGE OF A YOUNG WOMAN UNDER HIS AUTHORITY!!!!!
How does this only have so little views 😅
If Bill Clinton had nothing to do with Rpstien after 2008.....why was Gylwen Maxwell at theur whinnie kids wedding in June of 2010?
If the Clinton’s didn’t do anything wrong and nothing to hide then they should gladly take a polygraph to prove it.
"The  troops named the hummer. Monica Lewinsky.  I wouldn&#39;t want smoke one of his cigars,  if you know what I mean 😂"
Does anyone remember when governor bill was was using state troopers to bring prostitutes to too the Arkansas capital.  Not mention the the white house rapes and affairs with Monica . He flew to that island with no security.  Why. No witnesses?😮
Trump needs to be deposited. He is named thousands of times in the files.
The depraved disgusting behaviour of the Clintons who held the top level government positions but have by their own choice participated in the most lowlife vile evil behaviour a human can do.<br>Lying for these two is like drinking a glass of water.<br>What a sickening couple
All the dem.s do is lie on president trump.
You can bet h.r.c and bill will lie they both have lied all there lifes.
He lied at first then admitted to getting that bj. Next
Don&#39;t forget about.....paula.....monica.....jennifer....who else besides the little girls.....bill will pay come judgement day.....and all the evil people that&#39;s involved........crickets as usual.......
The clintons are controlled by the deep state. They open their mouths and they disappear
"Lets be clear. They domt care if everyone on that list is actively harming woman, they only want to blame trump"
The majority of that &quot;list&quot; were demlcrats and hollywood elites who all hate Trump
I&#39;m dome with democrats. They should be chained to a wall in a basement and left there
"I knew this was going to happen.  The Democrats will try to implicate Pres Trump again as they have always done. But the big question is this - Why didn&#39;t the BIden administration do that when they had the files? It&#39;s probably because it will implicate a lot of Democrats like Bill Clinton and there&#39;s not much there to implicate Pres Trump. Also, Why would Pres Trump authorize the release of the Epstein files if he knew he was guilty?  He&#39;s definitely not dumb."
Monica&#39;s dress said it all!!  If and I say if this man had sexual relations with a minor BE A GOOD MAN An HONEST MAN and stand up  and do the right thing.  A man that does the right thing
Wasn’t the other guy a creep with little girls too
Lol the performing art center
No one and I mean no one believes him!
Haha Hilary. I always knew you’d be a screamer.
None of the Clintons know how to tell the truth about anything.
"Trump said he can&#39;t come in to testify, he has a doctors note about his bone spurs."
Unbelievable hot tube pictures of massage and girls on his lap😅😅😅😅 still they yell Trump
The Clinton&#39;s will never be fully honest. So dont trust what either one said
The Clinton&#39;s couldn&#39;t tell the truth even if they lives depended on it... they should all be charged with Treason &amp; face the consequences...
Southern have turned him in from the hot tub phone or the airplane phone
He is a criminal
"<a href=""https://www.youtube.com/watch?v=f0ZwDXv7vqw&amp;t=248"">4:08</a> what&#39;s Diddy doing up there"
Yep kinda fitting name for where it’s done<br>It’s a performance alright
Ya well old bill said he did NOT HAVE SEXUAL RELATIONS WITH MONCIA LAWENSKY TOO. BUT WE NOW KNOW HE DID!
now ask melania and donald
This coming from the guy that says he smoked marijuana but never inhaled. Or he has no sexual relations with Monicca Lewinski. So proven that all these statements were lies. How in the world can we believe anything this man says.
Fix your volume.
"What’s funny is yall will believe Trump more than Bill, before Trump was ever in office back in the 80s and  90s his party life. Also his beauty pageants, and you think Trump is perfectly clean? Over Bill and we know how Trump talks about grabbing them by the p*<b>**</b> So think about that."
"<a href=""https://www.youtube.com/watch?v=f0ZwDXv7vqw&amp;t=2288"">38:08</a> - <a href=""https://www.youtube.com/watch?v=f0ZwDXv7vqw&amp;t=2308"">38:28</a> FOX news finally being real and spitting facts 💯🔥👍"
They should have asked him about Paula Jones in Arkansas.
NOTHING WILL HAPPEN. YOU GUYS ARE A DISGRACE TO REPORTING.
Funny how now deposing presidents is absurd 😂 Clinton is vile and everyone has known this for 50 years
Haha transparent Clinton’s that’s funny and as always trump trump trump
Clinton’s a liar now as he always was
"So they go before the oversight committee, Hillary and Bill and whoever else they decide to drag through there… But what is this accomplish?? Who’s going to be arrested? Why don’t the Clintons have to take a lie detector test like regular American people do when they’re interrogated on crimes against children?? Who’s going to be going to jail?? I think we all as Americans know that this is just a bunch of hoopla a waste again of taxpayers money because nobody’s gonna be reprimanded. No one‘s gonna be punished. You’re just wasting politicians time… Why?? Because nobody will be indicted. I don’t even know why we’re bringing the Clinton criminals and to talk to all these congress people because nothing ever happens???!! It’s ridiculous. They need to be out there getting stuff done for the American people, not sitting in a room with two documented liars hoping to get different answers! It’s just so frustrating. It’s like merry-go-round or nothing ever happens. Nobody ever gets off the merry-go-round and it never stops!!"
"This foreign guy pointing fingers should be deported back to Mexico. We only should have real American citizens be in a leadership, not born illegally in USA or entered to USA illegally or in any other means"
Cool. Next Trump?
Only one government based on the Westminster System actual works… SINGAPORE.
The Clintons are the most evil couple in America.
Omar &amp; her brother also on evil couple
"@jjohnson638 All the Dems seem evil and Anti-American. Why is the liberal Democrat LGBTQ party opposed to everything we hold dear in our culture? Govt Tariffs are being used to great effect to improve our economy, promote manufacturing and jobs in America, plus prevent wars. So how can the Democrat led Supreme Court stop tariffs and harm our country? This is not what the founding father intended. The system must change now to stop biased judges controlling a fairly elected govt."
Meanwhile somewhere  in canada....
Clinton is a known liar. I don&#39;t belive him or his evil wife
Shannon Bream on the Five!
Two things can be true. 1. The Clinton&#39;s are lying. 2. Trump is lying.
"&quot;I know what I didn&#39;t see&quot; - Really!  You know, even though you didn&#39;t see?  or You know about what you didn&#39;t see?   Sounds incriminating to me to say something like this."
"Slick Willy and Killery, &quot;I KNOW NOTHING&quot;."
Maxwell Frost on another witch hunt.
It’s always Trump never anyone else shame on you
Who was Clinton with in hot tub.
"But of course, he wll denies all about his connections with late rapist (JE) bcoz JE, can&#39;t testifies against ( Willy Billy Boy ) Clinton ( Clint on)"
Put both Clinton&#39;s in prison RIGHT NOW!<br><br>Obama is next for treason!
No one is above the law except for Democrat leaders. Look at the facts. Look at the history Democrats. They&#39;re f*<b>***</b> crooked as s***
People don&#39;t forget how long it took to get to Clinton&#39;s up here to talk. They&#39;ve been under fire for years. They&#39;re dirty as hell. They&#39;ve had plenty of time to get rid of evidence. We all know Hillary&#39;s good at that. This is just some b*<b>****</b> show. Everybody else goes to jail for not showing up but yet it takes 7 months and them setting the terms. What kind of b*<b>****</b> is that? Just because he&#39;s an ex-president that&#39;s not make him exempt from criminal crimes
"The clintons are both liars and everyone of those democrats have a severe case of TDS, so how can anyone truly believe anything any of them say?  My mother met slick willie when he was campaigning for governor in AR. in the late 70&#39;s. She didn&#39;t say why, she just said she couldn&#39;t stand him.  My mother liked everyone. So what did he do to my mother?"
"If I had been in a bathtub with a woman I am sure I would have remembered.<br>And swimming with Maxwell was quite nice, probably"
Clinton answered at multiple time before the committee &quot;I have never had sexual relations with Monica Lewinsky !!! &quot; 🤣🤣🤣🤣
"I did NOT have sexual relations with that woman. Swore up and down and then in the end, he was getting blowies under the desk in the Oval Office!"
"I want to hear from Jim Jordan knowledge on the Jan 6 committee, I would love to hear what he knows of his basketball team SA, and why he never reported the suspicions when it was reported to him.  if we can bring in previous presidents, then old basketball coaches should have no problem explaining what they know."
"All lies from the Clintons as expected. This is just a waste of time. Howard Lutnick should be fired immediately!!!  First, release every single document unredacted  then investigate them all! Trump should be deposed just like everyone named in these documents! Full transparency! We are sick of you all!"
"History will NOT be kind to the Clintons, Obama, Biden, Pelosi. Where are Kennedy&#39;s k ill ers today?  President Trump only has to blink in the wrong direction and the Leftists are ready to imprison him for hundreds of years."
President Trump is the only one who has started to release files
Trump will sacrifice our soldiers just to divert attention away from the Epstein Files!!!
More and more lies from the Democrats.
