It’s like the FIFA Peace Prize holds no value at all... 🏆🌍
"<a href=""https://www.youtube.com/watch?v=KkIvb0zxAtU"">https://www.youtube.com/watch?v=KkIvb0zxAtU</a><br><br><a href=""https://www.youtube.com/watch?v=OiMZ7NpagIQ"">https://www.youtube.com/watch?v=OiMZ7NpagIQ</a>"
"Jesus is coming soon, folks."
"“I say that he starts a war in Iran before the election, which will make it very hard for the Republican to win,” Trump said of Obama."
Sorry for your loss BBC
Trump just chilling
Imagine if iran killed trump!
Would people be giving Iran an award of gratitude or take revenge?
January - Maduro<br>February - El Mencho<br>March - Khamenei<br><br>Who is going to be the person of April?
I guess Trump didn&#39;t chicken out
Lets hope 🙏
❤❤❤❤
The dumb BBC- splicing again.
Sorry for your loss bbc.
DROP PRESIDENT TRUMP... DISTURBER OF WORLD PEACE.. GROSS HUMAN RIGHTS VIOLATOR AND COLONIZER OF WEAK COUNTRIES.. NEO CORRUPTED..
Trump is a terrorist he killed 150 school children
LIKE SHARE FOLLOW LIVE LOCATION PLEASE LEGEC AF SOMALI ❤❤❤❤❤❤❤❤❤❤❤
This aggression against Shia means that the only country that needs nuclear weapons is regime of terrorist and suicide bombers Israel and Sunni Arab and Turkish because they can’t behead us like Imam Hussain the grandson of prophet Mohammed S
Trump Is After What ?
Take out the iran Revolutionary Army guard terrorist org
Imagine vacationing to the middle east period. Absolutely stupid. The middle east doesn&#39;t even know what peace is.
&quot;without creating disaster&quot; lol
EZ
"AND WHO GAVE THEM THE RIGHT TO OVERTHROW ANOTHER COUNTRY&#39;S REGIME WHEN IT IS MILES AWAY FROM THEM??? AND OF ALL DAYS, DURING THEIR MOST SACRED MONTH? AND WHY CANT US JUST MIND THEIR OWN AFFAIRS? WHY MEDDLE WITH OTHER COUNTRY&#39;S AFFAIR???????"
I mean the ones with power decide the rules
trump and netanuha is women and children killeris is the cruel in the world
Iran military technology is a waste
"Human beings like love and peace, but beasts like hatred and wars."
"The United States has opened the door for other world leaders to execute any other world leader they deem a threat.<br>The United States is run by a criminal rapist child molester blood thirsty racist who is a threat to the entire world,  sooooooooo, i guess we will see, fingers crossed."
It’s President Trump.  Last I checked he’s not a private citizen.  <br>I liked the BBC better when they were covering up for Rape Gangs……..
"can&#39;t stop it, can we?..bound to happen, human nature.. &amp; wars"
TRUMP it is like a child. His country fall a part and make another war.
"Dear American neighbor, prepare to see your love ones to die for Trump&#39;s ego, his family&#39;s wealth, and the wealth of rich Americans. Think about it. Did any of the previous wars make your life better? Your country became richer through the wars while your life be more miserable. Weak up American. I hope Canadian governments is smart enough not sending one Canadian into this war. Good luck, dear neighbor, you need it ( thousand times more)❤️"
But why are we thinking that war is the only solution to everything. 😢😢😢😢😢
The UN is irrelevant and has been for decades.
If you kill someone you will be killed tomorrow never wins in someone&#39;s house
Good job USA and Israël !!!!<br><br>Roth in hell khamenei.
I think this is the start of the third world war !
"What a waste of space the BBC are, i can&#39;t wait till the Don sues your  sorry arses. 😂"
"Fearless true leader, friend of India who supported India on Kashmir issue in OIC gathering. Deepest sympathy and condolences. 🙏🏻<br>🇮🇳"
Tell an exact area not a Middle east! Middle to what?
he was a hero fighting against the two biggest terrorists of this era <br>Trump and Netanyahu
"No one talked about the innocent people who died during the planned attack, including a little girl."
Please Trump feed all Muslims with pork 🐷😋
Netanyahu calling anybody else a tyrant is just comical.
